idx,검색어,,,,
0,,,,,
1,,,,,
2,"1,2-Hexanediol","1,2-헥산다이올","1,2-Hexanediol",용제,
3,Glycerin,글리세린,Glycerin,"변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",
4,Propylene Glycol,프로필렌글라이콜,Propylene Glycol,"착향제, 보습제, 피부보습제, 피부컨디셔닝제, 용제, 점도감소제",
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,MDM Hydantoin,엠디엠하이단토인,MDM Hydantoin,살균보존제,
10,,,,,
11,,,,,
12,Etidronic Acid,에티드로닉애씨드,Etidronic Acid,금속이온봉쇄제,
13,,,,,
14,,,,,
15,"2-Bromo-2-Nitropropane-1,3-Diol","2-브로모-2-나이트로프로판-1,3-디올","2-Bromo-2-Nitropropane-1,3-Diol",보존제,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,Methylisothiazolinone,메칠이소치아졸리논,Methylisothiazolinone,보존제,
22,Tromethamine,트로메타민,Tromethamine,"착향제, pH 조절제",
23,Tromethamine,트로메타민,Tromethamine,"착향제, pH 조절제",
24,,,,,
25,,,,,
26,,,,,
27,Chloroxylenol,클로로자일레놀,Chloroxylenol,"탈취제, 살균보존제",
28,,,,,
29,4-Terpineol,4-터피네올,4-Terpineol,향료,
30,Propylparaben,프로필파라벤,Propylparaben,"착향제, 보존제",
31,,,,,
32,Methylchloroisothiazolinone,메칠클로로이소치아졸리논,Methylchloroisothiazolinone,보존제,
33,Disodium Inosinate,다이소듐이노시네이트,Disodium Inosinate,피부컨디셔닝제(유연제), 피부컨디셔닝제(보습제)
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,Crambe Abyssinica Seed Oil,아비시니안케일씨오일,Crambe Abyssinica Seed Oil,"모발컨디셔닝제, 수분증발차단제",
39,Acacia Concinna Fruit Extract,시카카이열매추출물,Acacia Concinna Fruit Extract,피부컨디셔닝제(기타),
40,Euterpe Oleracea Fruit Extract,아사이팜열매추출물,Euterpe Oleracea Fruit Extract,헤어컨디셔닝제,
41,Euterpe Oleracea Fruit Extract,아사이팜열매추출물,Euterpe Oleracea Fruit Extract,헤어컨디셔닝제,
42,,,,,
43,Acer Saccharum Extract,설탕단풍추출물,Acer Saccharum (Sugar Maple) Extract,피부컨디셔닝제(기타),
44,Acetamide MEA,아세타마이드엠이에이,Acetamide MEA,"헤어컨디셔닝제, 피부컨디셔닝제(보습제), 계면활성제(거품촉진제), 점도증가제(수성)",
45,,,,,
