search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,1-Difluoroethane (ICID)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,1'-Methylene-bis (4-isocyanatocyclohexane)ㆍPolypropylene glycol copolymer (일외원규)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Hexanediol","1,2 hexanediol(ICID)","1,2 헥산다이올 (ICID)","1,2 헥산디올(ICID)","1,2 헥산디올(1,2-Hexandiol, ICID)","1,2 헥산디올 (ICID)","1,2-Hexandiol (ICID)","1,2-hexanediol(ICID)","1,2-Hexanediol(ICID)","1,2-Hexanediol (헥산디올, ICID)","1,2-Hexanediol (1,2-헥산디올, ICID)","1,2-Hexanediol (ICID)","1,2-hexanediol (ICID)","1,2-헥산다이올(1,2-HEXANEDIOL, ICID)","1,2-헥산다이올(1,2-HEXANEDIOL. ICID)","1,2-헥산다이올(ICID)","1,2-헥산다이올(별규)","1,2-헥산다이올(1,2-Hexanediol,ICID)","1,2-헥산다이올(1,2-Hexanedioll,ICID)","1,2-헥산다이올(1,2-Hexanediol, ICID)","1,2-헥산다이올 (ICID)","1,2-헥산다이올 (별규)","1,2-헥산다이올 (1,2-Hexanediol, ICID)","1,2-헥산다이올 [ICID]","1,2헥산디올(1,2 Hexandiol, ICID)","1,2-헥산디올(ICID)","1,2-헥산디올(1,2-HEXANEDIOL, ICID)","1,2-헥산디올(1,2-Hexanediol, ICID)","1,2-헥산디올","1,2-헥산디올(별규)","1,2-헥산디올 (1,2-Hexanediol, ICID)","1,2-헥산디올 (ICID)","1,2-헥산디올 (별규)","1,2-헥산디올-1,2-Hexanediol (ICID)",1.2-헥산다이올(ICID),1.2-헥산디올(ICID),"1,2-헥산다이올&정제수 (ICID)","헥산디올 (1,2-Hexanediol, ICID)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycerin,"1,2,3-Propanetriol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propylene Glycol,"1,2-Propylene glycol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octanediol,"1,2-옥탄다이올(일외원규)","1,2-옥탄디올(일외원규)","1,2-옥탄디올 (일외원규)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,2-헥산다이올 & 부틸렌글리콜 & 스타아니스추출물 & 황금추출물 (ICID)","1,2-헥산다이올 & 부틸렌글리콜 & 팔각회향추출물 & 황금 추출물 (ICID)","1,2-헥산다이올&부틸렌글라이콜&스타아니스추출물&황금추출물 (ICID)","1,2-헥산디올 & 부틸렌글리콜 & 스타아니스추출물 & 황금 추출물 (ICID)","1,2-헥산디올 & 부틸렌글리콜 & 팔각회향추출물 & 황금 추출물 (ICID)","1,2-헥산디올&부틸렌글리콜&팔각회향추출물&황금추출물 (ICID)","1,2-헥산디올&부틸렌글리콜&팔각회향추출물&황금추출물 (KQC)","1,2-헥산디올, 부틸렌글리콜,팔각회향추출물,황금추출물(ICID)","1,2-헥산디올,부틸렌글리콜,팔각회향추출물,황금추출물(ICID)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,2-헥산다이올,다이프로필렌글라이콜,하이드록시아세토페논(ICID)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,2-헥산디올, 카프릴릴글라이콜 (ICID)","1,2-헥산디올/카프릴릴글라이콜(ICID)","1,2-헥산디올/카프릴릴글라이콜 (ICID)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDM Hydantoin,"1,3-Di(Hydroxymethyl-5,5-Dimethylhydantoin) (ICID)","1,3-Di(hydroxymethyl-5,5-dimethylhydantoin) (ICID)",Di(phytosteryl/2-ocyldodecyl) N-lauroyl-L-Glutamate (일외원규),Di(Cholesterylㆍoctyldodecyl) N-lauroyl-L-glutamate (일외원규),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
