ACE-inhibitors,"angiotensin-converting enzyme inhibitor, enalapril, captopril, lisinopril, ramipril, imidapril, benazepril, Enacard, Lotensin, Capoten, Vasotec, Prinivel, Zestril, fosinopril, moexipril, perindopril, quinapril, trandolapril","['Lethargy', 'weakness', 'hypotension (low blood pressure)', 'tachycardia (high heart rate)', 'vomiting', 'diarrhea']"
Acetaminophen,Acetaminophen,"['Lethargy', 'Swelling of the face', 'Difficulty breathing', 'Brown or blue gums', 'Vomiting', 'Diarrhea', 'Decreased appetite', 'Jaundice']"
Acids,"acid, acidic, battery, batteries, battery fluid, drain cleaner, toilet bowl cleaner, sulfuric acid, danger, hydrochloric acid, acetic acid, metal cleaners, pH, anti-rust compounds, hair wave neutralizers, drain cleaners","['Drooling', 'Pawing at the mouth', 'Difficulty swallowing', 'Refusal to eat', 'Ulceration in the mouth', 'Squinting of the eyes', 'Redness of the exposed area', 'Black coloration of the exposed skin or tissue', 'Difficulty breathing', 'Vomiting', 'Abdominal pain']"
African Evergreen,Syngonium podophyllum,"['Drooling', 'Vomiting', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite']"
African Wonder Tree,"Ricin, castor bean, Euphorbiaceae, spurge family","['Inappetance', 'Drooling', 'Abdominal pain', 'Vomiting', 'Severe bloody diarrhea', 'Abdominal straining', 'Weakness', 'Trembling', 'Hypotension (drop in blood pressure)', 'Sudden collapse', 'Death']"
Alcohol,"alcohol, mixed drinks, beer, liquor, ethanol, unbaked bread dough, yeast, wine, spirits, cocktails","['Depression or lethargy', 'Incoordination', 'Drooling', 'Vomiting or retching', 'Weakness', 'Collapse', 'Decreased respiratory rate', 'Hypoglycemia (low blood sugar)', 'Hypotension (low blood pressure)', 'Hypothermia (low body temperature)']"
Alkalis,"alkaline, pH, base, sodium hypochlorite, bleach, dishwasher detergent, batteries, dry cell batteries, cement, drain cleaner, hair relaxer, lye, oven cleaner, danger, caustic, hydroxide","['Drooling', 'Pawing at the mouth', 'Difficulty swallowing', 'Ulcerations in the mouth', 'Squinting of the eyes', 'Redness of the exposed area', 'Difficulty breathing', 'Vomiting', 'Abdominal pain']"
Alocasia,"Amazon elephant's ear, Giant elephant's ear, Elephant's ear","['Drooling', 'Pawing at the face or mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Aloe Vera,"True aloe, Octopus plant, Torch plant, Candelabra plant, Medicine plant, Barbados aloe",[]
Amaryllis,"Liliacea, Narcissus, Belladonna Amaryllis","['Drooling', 'Vomiting', 'Hypotension (drop in blood pressure)', 'Respiratory depression', 'Abdominal discomfort']"
Ambien,"Lunesta, Ambien, zolpidem, eszopiclone, zaleplon, Sonata","['Severe sedation', 'Severe agitation', 'Hyperactivity', 'Aggression', 'Panting', 'Vomiting', 'Diarrhea', 'Drooling', 'Tremors', 'Hyperthermia', 'Walking drunk', 'Respiratory or cardiovascular depression']"
American Bittersweet,"Celastrus scandens, Bittersweet, False Bittersweet, Climbing Bittersweet, Shrubby Bittersweet, Waxwork, European Bittersweet",[]
Amitraz,"insecticide, acaracide, Mitaban, Mitac, Preventic, Taktic, Zema, Mitacur, Ovasyn, parasiticide, ProMeris",[]
Amphetamines,"ADD medication, ADHD medication, methylphenidate, ecstasy, methylphenidate, dextroamphetamine, amphetamine, Adderall, D-amphetamine, Dexedrine, methamphetamine, Desoxyn, lisdexamfetamine, Vyvanse","['Agitation', 'Aggression', 'Panting', 'Sedation', 'Elevated heart rate', 'Hypertension', 'Drooling', 'Vomiting', 'Diarrhea', 'Tremors', 'Seizures']"
Andromeda Japonica,"Japonica, Bog Rosemary, Pieris, Pieris japonica",[]
Angel's Trumpet,"Brugmansia, atropine",[]
Anthurium,"flamingo flower, laceleaf, tailflower","['Drooling', 'Pawing at the face or mouth', 'Oral pain', 'Decreased appetite', 'Vomiting']"
Antibiotics,"neosporin, triple antibiotic, bacitracin, neomycin, polymyxin, topical, enrofloxacin, ampicillin, amoxicillin, Clavamox, Baytril, Keflex, cephalosporins, isoniazid","['Drooling', 'Inappetance', 'Vomiting', 'Diarrhea', 'Discolored teeth', 'Inappropriate drinking or urinating', 'Skin lesions', 'Tremors']"
Antidepressants,"SSRIs, antidepressants, selective serotonin reuptake inhibitors, Cymbalta, Effexor, Prozac, Reconcile, fluoxetine, citalopram, escitalopram, paroxetine, sertraline, Celexa, Lexapro, Paxil, Zoloft, selective norepinephrine re-uptake inhibitors, SNRIs, duloxetine, nefazodone, Serzone, venlafaxine",[]
Antifreeze,"ethylene glycol, EG","['Stage 1: This occurs within 30 minutes to 12 hours, and looks similar to alcohol poisoning. Signs of incoordination, drooling, vomiting, seizures, and excessive thirst and urination may be seen.']"
Antihistamines,"Benadryl, Caldryl, Dermamycin, Ziradryl, diphenhydramine, DPH","['Agitation', 'Lethargy', 'Sedation', 'Aggression', 'Abnormal heart rate', 'Abnormal blood pressure (hypertension)', 'Vomiting', 'Diarrhea', 'Inappetance', 'Seizures', 'Respiratory depression', 'Death']"
Apple Leaf Croton,"croton, garden croton","['Drooling', 'Vomiting', 'Diarrhea', 'Skin irritation']"
Apricot,"Prunus, Prunus armeniaca",[]
Arrowhead Vine,"American Evergreen, Goosefoot plant, African Evergreen, Arrowleaf vine, Trileaf wonder, Syngonium podophyllum","['Drooling', 'Vomiting', 'Pawing at the mouth', 'Oral pain', 'Decreased appetite']"
Asparagus Fern,"Emerald feather, Emerald fern, Flagstaff fern, Foxtail fern, Lace fern, Mazeppa fern, Plumosa fern, Racemose asparagus, Sprengeri fern, Sprenger's asparagus fern","['Vomiting', 'Diarrhea', 'Abdominal pain', 'Dermal irritation']"
Aspirin,"NSAID, acetylsalicylic acid, ASA, salicylic acid, BenGay, salicylates, HEET, Icy Hot, Pepto-Bismol, oil of wintergreen","['If you suspect your dog or cat were poisoned by aspirin, call your veterinarian or Pet Poison Helpline immediately for life-saving treatment recommendations.']"
Asthma Inhaler,"Albuterol, Salbuterol, Proventil, Ventilin, ProAir, Accuneb, asthma inhaler, beta agonist, b1 agonist",['Common signs to watch for:']
Australian Nut,Macadamia integrifolia and Macadamia tetraphylla,[]
Autumn Crocus,"Colchium, spring crocus, crocus",[]
Avocado,Persea americana,[]
Azalea,"Ericaceae, Rhododendron, grayanotoxin",[]
Baby's Breath,Gypsophila sp.,"['Vomiting', 'Anorexia', 'Diarrhea', 'Lethargy']"
Baclofen,Baclofen,"['abnormal vocalization', 'walking drunk (ataxia)', 'severe sedation, agitation', 'slow heart rate', 'low blood pressure', 'tremors, seizures', 'difficulty breathing (respiratory depression)']"
Baneberry,Actaea spicata,"['drooling', 'oral irritation', 'vomiting', 'anorexia']"
Batteries,"AA, AAA, dry cell, lithium, battery, alkaline, acidic, corrosive, button battery, batteries, heavy metal, corrosive","['If you pet has punctured or swallowed a battery, call your veterinarian or Pet Poison Helpline for advice.']"
Beech Trees,Actaea spicata,"['vomiting', 'diarrhea', 'abdominal pain', 'incoordination', 'convulsions/spasms', 'collapse', 'paralysis', 'death']"
Belladonna,Atropa belladonna,"['Vomiting', 'Rapid heart rate', 'Dilated pupils', 'Hallucinations/Delirium', 'Respiratory Failure']"
Benzodiazepines,Benzodiazepines,"['Severe sedation', 'In-coordination', 'Aggression', 'Agitation', 'Nausea', 'Vomiting', 'Respiratory depression', 'Cardiovascular depression']"
Beta-blockers,"cardiac medication, heart medication, atenolol, carvedilol, esmolol, labetalol, metoprolol, nadolol, nebivolol, propranolol, sotalol, timolol","['Nausea', 'Vomiting', 'Weakness', 'Collapse', 'Slowed heart rate', 'Lethargy']"
Bird of Paradise,Strelitzia sp,"['Oral Irritation and discomfort;', 'Vomiting;', 'Diarrhea;', 'Inappetance;']"
Black Locust,Robinia spp,"['Vomiting', 'Diarrhea', 'Inappetance', 'Weakness', 'Dilated pupils', 'Cold limbs', 'Difficulty breathing']"
Black Widow Spider,Lactrodectus,"['severe muscle pain', 'cramping', 'walking drunk', 'tremors', 'paralysis', 'blood pressure changes', 'drooling', 'vomiting', 'diarrhea', 'death']"
Bleeding Hearts,Dicentra sp,"['Vomiting', 'Anorexia', 'Skin Irritation', 'Staggering', 'Tremors']"
